"time","resistor.v","booleanPulse.y","sineVoltage.v"
0.00872,127.19516977039306,0,127.19644172209077
0.0088,119.6392832296881,0,119.6404796225204
0.00888,112.00782995341851,0,112.00895003171804
0.00896,104.3056301310417,0,104.30667318734301
0.00904,96.53754863704998,0,96.53851401253635
0.00912,88.70849195821106,0,88.70937904313064
0.0092,80.82340509452672,0,80.82421332857767
0.00928,72.8872684358646,0,72.88799730854896
0.00936,64.90509461623613,0,64.90574366718229
0.00944,56.881925347711466,0,56.882494166964946
0.00952,48.822828235963854,0,48.82331646424621
0.0096,40.73289357946318,0,40.733300908398974
0.00968,32.61723115433346,0,32.617557326645006
0.00976,24.48096698690837,0,24.48121179657824
0.00984,16.32924011602398,0,16.32940340842514
0.00992,8.167199347091463,0,8.167281019084934
0.01,3.2845572281760154e-13,0,3.284590073748297e-13
0.01,-1.3158692490933716e-10,0,-1.3158824077858626e-10
0.01,-1.3158692490933718e-15,0,-1.3158824077858626e-10
0.01008,-8.167199347090953e-5,0,-8.167281019084422
0.01016,-1.6329240116023756e-4,0,-16.329403408424916
0.01024,-2.4480966986908145e-4,0,-24.481211796578012
0.01032,-3.26172311543331e-4,0,-32.61755732664464
0.0104,-4.073289357946282e-4,0,-40.73330090839861
0.01048,-4.8822828235963345e-4,0,-48.8233164642457
0.01056,-5.688192534771083e-4,0,-56.8824941669643
0.01064,-6.490509461623577e-4,0,-64.90574366718194
0.01072,-7.288726843586424e-4,0,-72.8879973085486
0.0108,-8.082340509452652e-4,0,-80.82421332857746
0.01088,-8.870849195821085e-4,0,-88.70937904313043
0.01096,-9.653754863704976e-4,0,-96.53851401253613
0.01104,-0.0010430563013104149,0,-104.3066731873428
0.01112,-0.001120078299534183,0,-112.00895003171783
0.0112,-0.0011963928322968789,0,-119.64047962252017
0.01128,-0.0012719516977039273,0,-127.19644172209043
0.01136,-0.0013467071711564579,0,-134.67206382281694
0.01144,-0.0014206120354951723,0,-142.06262416155272
0.01152,-0.0014936196108237233,0,-149.36345470198313
0.0116,-0.0015656837839927316,0,-156.56994408305712
0.01168,-0.0016367590377258415,0,-163.67754053162187
0.01176,-0.0017068004793694127,0,-170.68175473742065
0.01184,-0.0017757638692476783,0,-177.57816268863706
0.01192,-0.0018436056486054694,0,-184.36240846619555
0.012,-0.0019102829671208627,0,-191.03020699505336
0.01208,-0.001975753709970365,0,-197.57734675074641
0.01216,-0.00203997652442953,0,-203.9996924194774
0.01224,-0.002102910845992231,0,-210.2931875100691
0.01232,-0.0021645169239920756,0,-216.4538569161315
0.0124,-0.002224755846709767,0,-222.4778094268234
0.01248,-0.0022835895659505966,0,-228.36124018462561
0.01256,-0.0023409809210764836,0,-234.10043308856942
0.01264,-0.0023968936624774373,0,-239.69176314140617
0.01272,-0.0024512924744675897,0,-245.13169873923343
0.0128,-0.0025041429975913364,0,-250.4168039021312
0.01288,-0.002555411850325506,0,-255.54374044440087
0.01296,-0.002605066650163845,0,-260.50927008303466
0.01304,-0.0026530760340705054,0,-265.3102564830846
0.01312,-0.0026994096782896066,0,-269.94366723863897
0.0132,-0.0027440383174983734,0,-274.4065757881548
0.01328,-0.0027869337632917355,0,-278.6961632629368
0.01336,-0.0028280689219867356,0,-282.80972026759554
0.01344,-0.002867417811735479,0,-286.7446485913596
0.01352,-0.002904955578935816,0,-290.4984628491605
0.0136,-0.0029406585139294225,0,-294.06879205145617
0.01368,-0.002974504065977321,0,-297.4533811017981
0.01376,-0.003006470857503412,0,-300.65009222119863
0.01384,-0.0030365386975970115,0,-303.6569062983987
0.01392,-0.003064688594765861,0,-306.47192416518084
0.014,-0.003090902768931559,0,-309.0933677959248
0.01408,-0.0031151646626598442,0,-311.51958143064707
0.01416,-0.0031374589516186225,0,-313.74903262081386
0.01424,-0.003157771554257147,0,-315.7803131972689
0.01432,-0.0031760896407002216,0,-317.61214015966283
0.0144,-0.003192401640851829,0,-319.2433564868237
0.01448,-0.003206697251703054,0,-320.67293186755705
0.01456,-0.0032189674438396778,0,-321.8999633514116
0.01464,-0.0032292044671453557,0,-322.9236759190027
0.01472,-0.0032374018556967535,0,-323.743422971531
0.0148,-0.0032435544318475643,0,-324.3586867391882
0.01488,-0.0032476583094988203,0,-324.7690786081915
0.01496,-0.0032497108965534372,0,-324.97433936624026
0.015,-0.003249967500324997,0,-325
0.015,-0.003249967500324997,1,-325
0.01504,-0.0032497108965534372,1,-324.97433936624026
0.01512,-0.0032476583094988207,1,-324.76907860819153
0.0152,-0.0032435544318475647,1,-324.3586867391883
0.01528,-0.0032374018556967543,1,-323.7434229715311
0.01536,-0.0032292044671453574,1,-322.92367591900285
0.015400000101580052,-0.0032243405228678844,1,-322.4372766273113
0.015400000101580052,-0.0032243405228678844,0,-322.4372766273113
0.01544,-0.003218967443839679,0,-321.8999633514117
0.01552,-0.003206697251703056,0,-320.6729318675573
0.0156,-0.0031924016408518313,0,-319.2433564868239
0.01568,-0.0031760896407002233,0,-317.612140159663
0.01576,-0.00315777155425715,0,-315.7803131972692
0.01584,-0.003137458951618626,0,-313.7490326208142
0.01592,-0.003115164662659847,0,-311.51958143064735
0.016,-0.0030909027689315625,0,-309.09336779592513
0.01608,-0.0030646885947658645,0,-306.4719241651812
0.01616,-0.003036538697597015,0,-303.65690629839906
0.01624,-0.0030064708575034157,0,-300.65009222119903
0.01632,-0.002974504065977325,0,-297.45338110179847
0.0164,-0.0029406585139294286,0,-294.06879205145674
0.01648,-0.0029049555789358206,0,-290.49846284916094
0.01656,-0.002867417811735485,0,-286.7446485913602
0.01664,-0.002828068921986741,0,-282.80972026759605
0.01672,-0.0027869337632917407,0,-278.6961632629373
0.0168,-0.002744038317498376,0,-274.40657578815507
0.01688,-0.0026994096782896105,0,-269.94366723863936
0.01696,-0.0026530760340705115,0,-265.3102564830852
0.01704,-0.0026050666501638508,0,-260.50927008303523
0.01712,-0.0025554118503255114,0,-255.54374044440146
0.0172,-0.002504142997591342,0,-250.4168039021318
0.01728,-0.0024512924744675957,0,-245.131698739234
