"time","sineVoltage.v","booleanPulse.y","resistor.v"
0.0088,119.64047962252,0,118.83929122566373
0.00888,112.00895003171763,0,111.20783794938716
0.00896,104.30667318734274,0,103.50563812700344
0.00904,96.53851401253593,0,95.73755663300446
0.00912,88.70937904313023,0,87.90849995415837
0.0092,80.8242133285774,0,80.02341309046696
0.00928,72.88799730854855,0,72.08727643179743
0.00936,64.90574366718201,0,64.10510261216176
0.00944,56.88249416696452,0,56.08193334362959
0.00952,48.82331646424578,0,48.02283623187458
0.0096,40.73330090839868,0,39.932901575366614
0.00968,32.61755732664444,0,31.81723915022917
0.00976,24.481211796577806,0,23.680974982796744
0.00984,16.329403408424707,0,15.529248111904868
0.00992,8.167281019084212,0,7.367207342964573
0.00999216864136816,0.7995947025611834,0,-4.052974388155661e-4
0.00999216864136816,0.7995947025611834,0,-4.0529733488980924e-4
